2023/03/20 19:40:30 [error] 6824#11092: *1 CreateFile() "C:\Users\Pablo\Desktop\desafioClase24\nginx/html/favicon.ico" failed (2: El sistema no puede encontrar el archivo especificado), client: 127.0.0.1, server: localhost, request: "GET /favicon.ico HTTP/1.1", host: "localhost:81", referrer: "http://localhost:81/"
2023/03/20 20:14:38 [error] 10216#4200: *1 connect() failed (10061: No se puede establecer una conexión ya que el equipo de destino denegó expresamente dicha conexión) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /info HTTP/1.1", upstream: "http://127.0.0.1:8081/info", host: "localhost:81"
2023/03/20 20:14:40 [error] 10216#4200: *1 connect() failed (10061: No se puede establecer una conexión ya que el equipo de destino denegó expresamente dicha conexión) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /info HTTP/1.1", upstream: "http://127.0.0.1:8082/info", host: "localhost:81"
2023/03/20 20:20:53 [error] 10216#4200: *6 CreateFile() "C:\Users\Pablo\Desktop\desafioClase24\nginx/html/login" failed (2: El sistema no puede encontrar el archivo especificado), client: 127.0.0.1, server: localhost, request: "GET /login HTTP/1.1", host: "localhost:81"
2023/03/20 21:16:36 [error] 14524#5852: *111 WSARecv() failed (10054: Se ha forzado la interrupción de una conexión existente por el host remoto) while reading response header from upstream, client: 127.0.0.1, server: localhost, request: "GET /api/randoms HTTP/1.1", upstream: "http://127.0.0.1:8081/api/randoms", host: "localhost:81"
2023/03/21 01:09:04 [error] 8932#9364: *1 connect() failed (10061: No se puede establecer una conexión ya que el equipo de destino denegó expresamente dicha conexión) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET / HTTP/1.1", upstream: "http://127.0.0.1:8080/", host: "localhost:81"
2023/03/21 01:09:13 [error] 8932#9364: *1 connect() failed (10061: No se puede establecer una conexión ya que el equipo de destino denegó expresamente dicha conexión) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET / HTTP/1.1", upstream: "http://127.0.0.1:8080/", host: "localhost:81"
2023/03/21 01:09:33 [error] 8932#9364: *1 connect() failed (10061: No se puede establecer una conexión ya que el equipo de destino denegó expresamente dicha conexión) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET / HTTP/1.1", upstream: "http://127.0.0.1:8080/", host: "localhost:81"
2023/03/21 01:09:38 [error] 8932#9364: *1 connect() failed (10061: No se puede establecer una conexión ya que el equipo de destino denegó expresamente dicha conexión) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET / HTTP/1.1", upstream: "http://127.0.0.1:8080/", host: "localhost:81"
2023/03/21 01:10:45 [error] 3052#14488: *1 connect() failed (10061: No se puede establecer una conexión ya que el equipo de destino denegó expresamente dicha conexión) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET / HTTP/1.1", upstream: "http://127.0.0.1:8080/", host: "localhost:81"
2023/03/21 01:11:25 [error] 3052#14488: *1 connect() failed (10061: No se puede establecer una conexión ya que el equipo de destino denegó expresamente dicha conexión) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET / HTTP/1.1", upstream: "http://127.0.0.1:8080/", host: "localhost:81"
2023/03/21 01:11:31 [error] 3052#14488: *1 connect() failed (10061: No se puede establecer una conexión ya que el equipo de destino denegó expresamente dicha conexión) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /info HTTP/1.1", upstream: "http://127.0.0.1:8080/info", host: "localhost:81"
2023/03/21 01:13:43 [error] 3052#14488: *7 connect() failed (10061: No se puede establecer una conexión ya que el equipo de destino denegó expresamente dicha conexión) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /info HTTP/1.1", upstream: "http://127.0.0.1:8080/info", host: "localhost:81"
2023/03/21 01:20:06 [notice] 15976#1064: signal process started
2023/03/21 01:20:27 [error] 11032#16544: *11 connect() failed (10061: No se puede establecer una conexión ya que el equipo de destino denegó expresamente dicha conexión) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /info HTTP/1.1", upstream: "http://127.0.0.1:8080/info", host: "localhost:81"
2023/03/21 01:20:32 [error] 11032#16544: *11 connect() failed (10061: No se puede establecer una conexión ya que el equipo de destino denegó expresamente dicha conexión) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET / HTTP/1.1", upstream: "http://127.0.0.1:8080/", host: "localhost:81"
2023/03/21 01:29:46 [error] 11032#16544: *22 connect() failed (10061: No se puede establecer una conexión ya que el equipo de destino denegó expresamente dicha conexión) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/randoms HTTP/1.1", upstream: "http://127.0.0.1:8082/api/randoms", host: "localhost:81"
2023/03/21 01:29:48 [error] 11032#16544: *22 connect() failed (10061: No se puede establecer una conexión ya que el equipo de destino denegó expresamente dicha conexión) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/randoms HTTP/1.1", upstream: "http://127.0.0.1:8083/api/randoms", host: "localhost:81"
2023/03/21 01:29:50 [error] 11032#16544: *22 connect() failed (10061: No se puede establecer una conexión ya que el equipo de destino denegó expresamente dicha conexión) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/randoms HTTP/1.1", upstream: "http://127.0.0.1:8084/api/randoms", host: "localhost:81"
2023/03/21 01:29:52 [error] 11032#16544: *22 connect() failed (10061: No se puede establecer una conexión ya que el equipo de destino denegó expresamente dicha conexión) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/randoms HTTP/1.1", upstream: "http://127.0.0.1:8085/api/randoms", host: "localhost:81"
2023/03/21 01:42:18 [error] 11032#16544: *29 connect() failed (10061: No se puede establecer una conexión ya que el equipo de destino denegó expresamente dicha conexión) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/randoms HTTP/1.1", upstream: "http://127.0.0.1:8085/api/randoms", host: "localhost:81"
2023/03/21 01:42:21 [error] 11032#16544: *29 connect() failed (10061: No se puede establecer una conexión ya que el equipo de destino denegó expresamente dicha conexión) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/randoms HTTP/1.1", upstream: "http://127.0.0.1:8084/api/randoms", host: "localhost:81"
2023/03/21 01:42:23 [error] 11032#16544: *29 connect() failed (10061: No se puede establecer una conexión ya que el equipo de destino denegó expresamente dicha conexión) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/randoms HTTP/1.1", upstream: "http://127.0.0.1:8083/api/randoms", host: "localhost:81"
2023/03/21 01:42:25 [error] 11032#16544: *29 connect() failed (10061: No se puede establecer una conexión ya que el equipo de destino denegó expresamente dicha conexión) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/randoms HTTP/1.1", upstream: "http://127.0.0.1:8082/api/randoms", host: "localhost:81"
2023/03/21 01:44:06 [error] 11032#16544: *36 connect() failed (10061: No se puede establecer una conexión ya que el equipo de destino denegó expresamente dicha conexión) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/randoms HTTP/1.1", upstream: "http://127.0.0.1:8085/api/randoms", host: "localhost:81"
2023/03/21 01:44:08 [error] 11032#16544: *36 connect() failed (10061: No se puede establecer una conexión ya que el equipo de destino denegó expresamente dicha conexión) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/randoms HTTP/1.1", upstream: "http://127.0.0.1:8082/api/randoms", host: "localhost:81"
2023/03/21 01:44:10 [error] 11032#16544: *36 connect() failed (10061: No se puede establecer una conexión ya que el equipo de destino denegó expresamente dicha conexión) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/randoms HTTP/1.1", upstream: "http://127.0.0.1:8083/api/randoms", host: "localhost:81"
2023/03/21 01:44:12 [error] 11032#16544: *36 connect() failed (10061: No se puede establecer una conexión ya que el equipo de destino denegó expresamente dicha conexión) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/randoms HTTP/1.1", upstream: "http://127.0.0.1:8084/api/randoms", host: "localhost:81"
